Aforo,Este,Norte,Fecha,Qtotal (m3/s)
Motobomba,192546,8104722,14/03/2006,0.693
Camanejos,197321,8100714,14/03/2006,0.07
Dren ciego,194330,8103436,14/03/2006,0.265
Rossy,195723,8102026,14/03/2006,0.103
Puntilla,196473,8103514,16/04/2006,0.125
Campesino,194248,8103536,16/04/2006,0.484
Centro de visitantes,193407,8104162,16/04/2006,0.405
Motobomba,192546,8104722,16/04/2006,0.715
Camanejos,197321,8100714,16/04/2006,0.115
Dren ciego,194330,8103436,16/04/2006,0.367
Rossy,195723,8102026,16/04/2006,0.027
Puntilla,196473,8103514,16/05/2006,0.214
Campesino,194248,8103536,16/05/2006,1.145
Centro de visitantes,193407,8104162,16/05/2006,0.925
Motobomba,192546,8104722,16/05/2006,1.152
Camanejos,197321,8100714,16/05/2006,0.012
Dren ciego,194330,8103436,16/05/2006,0
Rossy,195723,8102026,16/05/2006,0.01
Puntilla,196473,8103514,14/06/2006,0.193
Campesino,194248,8103536,14/06/2006,0.827
Centro de visitantes,193407,8104162,14/06/2006,0.85
Motobomba,192546,8104722,14/06/2006,0.764
Camanejos,197321,8100714,14/06/2006,0.006
Dren ciego,194330,8103436,14/06/2006,0
Rossy,195723,8102026,14/06/2006,0
Puntilla,196473,8103514,10/07/2006,0.33
Campesino,194248,8103536,10/07/2006,1.114
Centro de visitantes,193407,8104162,10/07/2006,0.834
Motobomba,192546,8104722,10/07/2006,1.018
Camanejos,197321,8100714,10/07/2006,0.006
Dren ciego,194330,8103436,10/07/2006,0
Rossy,195723,8102026,10/07/2006,0.05
Puntilla,196473,8103514,18/08/2006,0.315
Campesino,194248,8103536,18/08/2006,0.678
Centro de visitantes,193407,8104162,18/08/2006,0.61
Motobomba,192546,8104722,18/08/2006,0.673
Camanejos,197321,8100714,18/08/2006,0.006
Dren ciego,194330,8103436,18/08/2006,0
Rossy,195723,8102026,18/08/2006,0.054
Puntilla,196473,8103514,15/09/2006,0.217
Campesino,194248,8103536,15/09/2006,0.673
Centro de visitantes,193407,8104162,15/09/2006,0.634
Motobomba,192546,8104722,15/09/2006,0.589
Camanejos,197321,8100714,15/09/2006,0.007
Dren ciego,194330,8103436,15/09/2006,0
Rossy,195723,8102026,15/09/2006,0.047
Puntilla,196473,8103514,14/10/2006,0.275
Campesino,194248,8103536,14/10/2006,0.641
Centro de visitantes,193407,8104162,14/10/2006,0.466
Motobomba,192546,8104722,14/10/2006,0.512
Camanejos,197321,8100714,14/10/2006,0.005
Dren ciego,194330,8103436,14/10/2006,0.046
Rossy,195723,8102026,14/10/2006,0.056
Puntilla,196473,8103514,11/11/2006,0.276
Campesino,194248,8103536,11/11/2006,0.631
Centro de visitantes,193407,8104162,11/11/2006,0.621
Motobomba,192546,8104722,11/11/2006,0.759
Camanejos,197321,8100714,11/11/2006,0.045
Dren ciego,194330,8103436,11/11/2006,0
Rossy,195723,8102026,11/11/2006,0.049
Puntilla,196473,8103514,05/12/2006,0.123
Campesino,194248,8103536,05/12/2006,0.607
Centro de visitantes,193407,8104162,05/12/2006,0.49
Motobomba,192546,8104722,05/12/2006,0.623
Camanejos,197321,8100714,05/12/2006,0.006
Dren ciego,194330,8103436,05/12/2006,0.185
Rossy,195723,8102026,05/12/2006,0.024
Puntilla,196473,8103514,16/01/2005,0.067
Campesino,194248,8103536,16/01/2005,0.55
Centro de visitantes,193407,8104162,16/01/2005,0.429
Motobomba,192546,8104722,16/01/2005,0.484
Camanejos,197321,8100714,16/01/2005,0.05
Dren ciego,194330,8103436,16/01/2005,0.051
Rossy,195723,8102026,16/01/2005,0.047
Puntilla,196473,8103514,14/02/2005,0.192
Campesino,194248,8103536,14/02/2005,0.609
Centro de visitantes,193407,8104162,14/02/2005,0.599
Motobomba,192546,8104722,14/02/2005,0.747
Camanejos,197321,8100714,14/02/2005,0.144
Dren ciego,194330,8103436,14/02/2005,0.477
Rossy,195723,8102026,14/02/2005,0.081
Puntilla,196473,8103514,14/03/2005,0.262
Campesino,194248,8103536,14/03/2005,0.638
Centro de visitantes,193407,8104162,14/03/2005,0.202
Motobomba,192546,8104722,14/03/2005,0.544
Camanejos,197321,8100714,14/03/2005,0.086
Dren ciego,194330,8103436,14/03/2005,0.145
Rossy,195723,8102026,14/03/2005,0.757
Puntilla,196473,8103514,14/04/2005,0.202
Campesino,194248,8103536,14/04/2005,0.525
Centro de visitantes,193407,8104162,14/04/2005,0.447
Motobomba,192546,8104722,14/04/2005,0.636
Camanejos,197321,8100714,14/04/2005,0.294
Dren ciego,194330,8103436,14/04/2005,0.129
Rossy,195723,8102026,14/04/2005,0.67
Puntilla,196473,8103514,14/05/2005,0.326
Campesino,194248,8103536,14/05/2005,0.408
Centro de visitantes,193407,8104162,14/05/2005,0.106
Motobomba,192546,8104722,14/05/2005,0.594
Camanejos,197321,8100714,14/05/2005,0.227
Dren ciego,194330,8103436,14/05/2005,0.289
Rossy,195723,8102026,14/05/2005,0.079
Puntilla,196473,8103514,14/06/2005,0.292
Campesino,194248,8103536,14/06/2005,0.687
Centro de visitantes,193407,8104162,14/06/2005,0.395
Motobomba,192546,8104722,14/06/2005,0.569
Camanejos,197321,8100714,14/06/2005,0.016
Dren ciego,194330,8103436,14/06/2005,0.082
Rossy,195723,8102026,14/06/2005,0
Puntilla,196473,8103514,16/07/2005,0.406
Campesino,194248,8103536,16/07/2005,0.697
Centro de visitantes,193407,8104162,16/07/2005,0.502
Motobomba,192546,8104722,16/07/2005,1.019
Camanejos,197321,8100714,16/07/2005,0.006
Dren ciego,194330,8103436,16/07/2005,0.067
Rossy,195723,8102026,16/07/2005,0.01
Puntilla,196473,8103514,16/08/2005,0.211
Campesino,194248,8103536,16/08/2005,0.5
Centro de visitantes,193407,8104162,16/08/2005,0.392
Motobomba,192546,8104722,16/08/2005,0.649
Camanejos,197321,8100714,16/08/2005,0.052
Dren ciego,194330,8103436,16/08/2005,0.017
Rossy,195723,8102026,16/08/2005,0.008
Puntilla,196473,8103514,17/09/2005,0.267
Campesino,194248,8103536,17/09/2005,0.522
Centro de visitantes,193407,8104162,17/09/2005,0.391
Motobomba,192546,8104722,17/09/2005,0.51
Camanejos,197321,8100714,17/09/2005,0.028
Dren ciego,194330,8103436,17/09/2005,0.058
Rossy,195723,8102026,17/09/2005,0.018
Puntilla,196473,8103514,18/10/2005,0.307
Campesino,194248,8103536,18/10/2005,0.591
Centro de visitantes,193407,8104162,18/10/2005,0.317
Motobomba,192546,8104722,18/10/2005,0.479
Camanejos,197321,8100714,18/10/2005,0.05
Dren ciego,194330,8103436,18/10/2005,0.046
Rossy,195723,8102026,18/10/2005,0.011
Puntilla,196473,8103514,14/11/2005,0.195
Campesino,194248,8103536,14/11/2005,0.567
Centro de visitantes,193407,8104162,14/11/2005,0.455
Motobomba,192546,8104722,14/11/2005,0.529
Camanejos,197321,8100714,14/11/2005,0.083
Dren ciego,194330,8103436,14/11/2005,0.292
Rossy,195723,8102026,14/11/2005,0.07
Puntilla,196473,8103514,12/12/2005,0.17
Campesino,194248,8103536,12/12/2005,0.472
Centro de visitantes,193407,8104162,12/12/2005,0.438
Motobomba,192546,8104722,12/12/2005,0.4
Camanejos,197321,8100714,12/12/2005,0.029
Dren ciego,194330,8103436,12/12/2005,0.185
Rossy,195723,8102026,12/12/2005,0.065
Puntilla,196473,8103514,27/01/2004,0.219
Campesino,194248,8103536,27/01/2004,0.499
Centro de visitantes,193407,8104162,27/01/2004,0.395
Motobomba,192546,8104722,27/01/2004,0.991
Camanejos,197321,8100714,27/01/2004,0.1
Dren ciego,194330,8103436,27/01/2004,
Rossy,195723,8102026,27/01/2004,10.82
Puntilla,196473,8103514,27/02/2004,0.159
Campesino,194248,8103536,27/02/2004,0.519
Centro de visitantes,193407,8104162,27/02/2004,0.343
Motobomba,192546,8104722,27/02/2004,0.791
Camanejos,197321,8100714,27/02/2004,
Dren ciego,194330,8103436,27/02/2004,
Rossy,195723,8102026,27/02/2004,0.066
Puntilla,196473,8103514,20/03/2004,0.179
Campesino,194248,8103536,20/03/2004,0.616
Centro de visitantes,193407,8104162,20/03/2004,0.494
Motobomba,192546,8104722,20/03/2004,0.874
Camanejos,197321,8100714,20/03/2004,
Dren ciego,194330,8103436,20/03/2004,
Rossy,195723,8102026,20/03/2004,0.017
Puntilla,196473,8103514,23/04/2004,0.206
Campesino,194248,8103536,23/04/2004,0.709
Centro de visitantes,193407,8104162,23/04/2004,0.46
Motobomba,192546,8104722,23/04/2004,0.942
Camanejos,197321,8100714,23/04/2004,
Dren ciego,194330,8103436,23/04/2004,
Rossy,195723,8102026,23/04/2004,0.105
Puntilla,196473,8103514,27/05/2004,0.145
Campesino,194248,8103536,27/05/2004,0.457
Centro de visitantes,193407,8104162,27/05/2004,0.429
Motobomba,192546,8104722,27/05/2004,0.398
Camanejos,197321,8100714,27/05/2004,
Dren ciego,194330,8103436,27/05/2004,0.017
Rossy,195723,8102026,27/05/2004,0.091
Puntilla,196473,8103514,28/06/2004,0.12
Campesino,194248,8103536,28/06/2004,0.571
Centro de visitantes,193407,8104162,28/06/2004,0.44
Motobomba,192546,8104722,28/06/2004,0.646
Camanejos,197321,8100714,28/06/2004,0.003
Dren ciego,194330,8103436,28/06/2004,0.051
Rossy,195723,8102026,28/06/2004,0.073
Puntilla,196473,8103514,28/07/2004,0.245
Campesino,194248,8103536,28/07/2004,0.61
Centro de visitantes,193407,8104162,28/07/2004,0.425
Motobomba,192546,8104722,28/07/2004,0.569
Camanejos,197321,8100714,28/07/2004,0.038
Dren ciego,194330,8103436,28/07/2004,0.05
Rossy,195723,8102026,28/07/2004,0.011
Puntilla,196473,8103514,01/08/2004,0.256
Campesino,194248,8103536,01/08/2004,1.342
Centro de visitantes,193407,8104162,01/08/2004,0.616
Motobomba,192546,8104722,01/08/2004,1.442
Camanejos,197321,8100714,01/08/2004,0.135
Dren ciego,194330,8103436,01/08/2004,0.002
Rossy,195723,8102026,01/08/2004,0.011
Puntilla,196473,8103514,01/09/2004,0.157
Campesino,194248,8103536,01/09/2004,0.941
Centro de visitantes,193407,8104162,01/09/2004,0.495
Motobomba,192546,8104722,01/09/2004,0.989
Camanejos,197321,8100714,01/09/2004,0.032
Dren ciego,194330,8103436,01/09/2004,
Rossy,195723,8102026,01/09/2004,0.098
Puntilla,196473,8103514,01/10/2004,0.162
Campesino,194248,8103536,01/10/2004,0.572
Centro de visitantes,193407,8104162,01/10/2004,0.456
Motobomba,192546,8104722,01/10/2004,0.556
Camanejos,197321,8100714,01/10/2004,0.027
Dren ciego,194330,8103436,01/10/2004,
Rossy,195723,8102026,01/10/2004,0.027
Puntilla,196473,8103514,01/11/2004,0.151
Campesino,194248,8103536,01/11/2004,0.548
Centro de visitantes,193407,8104162,01/11/2004,0.396
Motobomba,192546,8104722,01/11/2004,0.452
Camanejos,197321,8100714,01/11/2004,
Dren ciego,194330,8103436,01/11/2004,
Rossy,195723,8102026,01/11/2004,0.023
Puntilla,196473,8103514,01/12/2004,0.102
Campesino,194248,8103536,01/12/2004,0.503
Centro de visitantes,193407,8104162,01/12/2004,0.411
Motobomba,192546,8104722,01/12/2004,0.47
Camanejos,197321,8100714,01/12/2004,0.036
Dren ciego,194330,8103436,01/12/2004,
Rossy,195723,8102026,01/12/2004,0.043
Puntilla,196473,8103514,01/01/2003,0.116
Campesino,194248,8103536,01/01/2003,0.579
Centro de visitantes,193407,8104162,01/01/2003,0.469
Motobomba,192546,8104722,01/01/2003,0.69
Camanejos,197321,8100714,01/01/2003,0.032
Dren ciego,194330,8103436,01/01/2003,
Rossy,195723,8102026,01/01/2003,0.042
Puntilla,196473,8103514,02/02/2003,0.163
Campesino,194248,8103536,02/02/2003,0.642
Centro de visitantes,193407,8104162,02/02/2003,0.523
Motobomba,192546,8104722,02/02/2003,0.764
Camanejos,197321,8100714,02/02/2003,0.084
Dren ciego,194330,8103436,02/02/2003,
Rossy,195723,8102026,02/02/2003,0.014
Puntilla,196473,8103514,03/03/2003,0.118
Campesino,194248,8103536,03/03/2003,0.532
Centro de visitantes,193407,8104162,03/03/2003,0.512
Motobomba,192546,8104722,03/03/2003,0.598
Camanejos,197321,8100714,03/03/2003,0.062
Dren ciego,194330,8103436,03/03/2003,
Rossy,195723,8102026,03/03/2003,
Puntilla,196473,8103514,04/04/2003,0.125
Campesino,194248,8103536,04/04/2003,0.616
Centro de visitantes,193407,8104162,04/04/2003,0.516
Motobomba,192546,8104722,04/04/2003,0.674
Camanejos,197321,8100714,04/04/2003,0.052
Dren ciego,194330,8103436,04/04/2003,
Rossy,195723,8102026,04/04/2003,0.042
Puntilla,196473,8103514,21/05/2003,0.149
Campesino,194248,8103536,21/05/2003,0.434
Centro de visitantes,193407,8104162,21/05/2003,0.365
Motobomba,192546,8104722,21/05/2003,0.436
Camanejos,197321,8100714,21/05/2003,0.036
Dren ciego,194330,8103436,21/05/2003,
Rossy,195723,8102026,21/05/2003,0.014
Puntilla,196473,8103514,19/06/2003,0.109
Campesino,194248,8103536,19/06/2003,0.387
Centro de visitantes,193407,8104162,19/06/2003,0.342
Motobomba,192546,8104722,19/06/2003,
Camanejos,197321,8100714,19/06/2003,
Dren ciego,194330,8103436,19/06/2003,
Rossy,195723,8102026,19/06/2003,
Puntilla,196473,8103514,21/07/2003,0.164
Campesino,194248,8103536,21/07/2003,0.546
Centro de visitantes,193407,8104162,21/07/2003,0.639
Motobomba,192546,8104722,21/07/2003,0.466
Camanejos,197321,8100714,21/07/2003,0.069
Dren ciego,194330,8103436,21/07/2003,
Rossy,195723,8102026,21/07/2003,
Puntilla,196473,8103514,21/08/2003,0.149
Campesino,194248,8103536,21/08/2003,0.488
Centro de visitantes,193407,8104162,21/08/2003,0.519
Motobomba,192546,8104722,21/08/2003,0.225
Camanejos,197321,8100714,21/08/2003,0.166
Dren ciego,194330,8103436,21/08/2003,
Rossy,195723,8102026,21/08/2003,
Puntilla,196473,8103514,21/09/2003,0.159
Campesino,194248,8103536,21/09/2003,1.043
Centro de visitantes,193407,8104162,21/09/2003,0.535
Motobomba,192546,8104722,21/09/2003,0.925
Camanejos,197321,8100714,21/09/2003,0.1
Dren ciego,194330,8103436,21/09/2003,
Rossy,195723,8102026,21/09/2003,
Puntilla,196473,8103514,21/10/2003,0.249
Campesino,194248,8103536,21/10/2003,0.69
Centro de visitantes,193407,8104162,21/10/2003,0.45
Motobomba,192546,8104722,21/10/2003,0.606
Camanejos,197321,8100714,21/10/2003,
Dren ciego,194330,8103436,21/10/2003,
Rossy,195723,8102026,21/10/2003,
Puntilla,196473,8103514,21/11/2003,0.185
Campesino,194248,8103536,21/11/2003,0.446
Centro de visitantes,193407,8104162,21/11/2003,0.47
Motobomba,192546,8104722,21/11/2003,0.392
Camanejos,197321,8100714,21/11/2003,
Dren ciego,194330,8103436,21/11/2003,
Rossy,195723,8102026,21/11/2003,
Puntilla,196473,8103514,21/12/2003,0.222
Campesino,194248,8103536,21/12/2003,0.55
Centro de visitantes,193407,8104162,21/12/2003,0.369
Motobomba,192546,8104722,21/12/2003,0.456
Camanejos,197321,8100714,21/12/2003,
Dren ciego,194330,8103436,21/12/2003,
Rossy,195723,8102026,21/12/2003,
Puntilla,196473,8103514,24/01/2002,0.11
Campesino,194248,8103536,24/01/2002,0.304
Centro de visitantes,193407,8104162,24/01/2002,0.357
Motobomba,192546,8104722,24/01/2002,0.232
Camanejos,197321,8100714,24/01/2002,0.08
Dren ciego,194330,8103436,24/01/2002,
Rossy,195723,8102026,24/01/2002,0.067
Puntilla,196473,8103514,26/02/2002,0.228
Campesino,194248,8103536,26/02/2002,0.403
Centro de visitantes,193407,8104162,26/02/2002,0.449
Motobomba,192546,8104722,26/02/2002,0.424
Camanejos,197321,8100714,26/02/2002,0.015
Dren ciego,194330,8103436,26/02/2002,
Rossy,195723,8102026,26/02/2002,0.06
Puntilla,196473,8103514,24/03/2002,0.196
Campesino,194248,8103536,24/03/2002,0.322
Centro de visitantes,193407,8104162,24/03/2002,0.379
Motobomba,192546,8104722,24/03/2002,0.462
Camanejos,197321,8100714,24/03/2002,1.045
Dren ciego,194330,8103436,24/03/2002,
Rossy,195723,8102026,24/03/2002,
Puntilla,196473,8103514,25/04/2002,0.165
Campesino,194248,8103536,25/04/2002,0.298
Centro de visitantes,193407,8104162,25/04/2002,0.404
Motobomba,192546,8104722,25/04/2002,0.397
Camanejos,197321,8100714,25/04/2002,0.012
Dren ciego,194330,8103436,25/04/2002,0.096
Rossy,195723,8102026,25/04/2002,
Puntilla,196473,8103514,25/05/2002,
Campesino,194248,8103536,25/05/2002,0.414
Centro de visitantes,193407,8104162,25/05/2002,0.748
Motobomba,192546,8104722,25/05/2002,0.393
Camanejos,197321,8100714,25/05/2002,0.03
Dren ciego,194330,8103436,25/05/2002,
Rossy,195723,8102026,24/05/2002,
Puntilla,196473,8103514,23/06/2002,0.216
Campesino,194248,8103536,23/06/2002,0.735
Centro de visitantes,193407,8104162,23/06/2002,0.349
Motobomba,192546,8104722,23/06/2002,0.449
Camanejos,197321,8100714,23/06/2002,0.076
Dren ciego,194330,8103436,23/06/2002,
Rossy,195723,8102026,23/06/2002,
Puntilla,196473,8103514,26/07/2002,0.256
Campesino,194248,8103536,26/07/2002,0.53
Centro de visitantes,193407,8104162,26/07/2002,0.563
Motobomba,192546,8104722,26/07/2002,0.638
Camanejos,197321,8100714,26/07/2002,0.012
Dren ciego,194330,8103436,26/07/2002,
Rossy,195723,8102026,26/07/2002,0.012
Puntilla,196473,8103514,29/08/2002,0.178
Campesino,194248,8103536,29/08/2002,0.531
Centro de visitantes,193407,8104162,29/08/2002,0.612
Motobomba,192546,8104722,29/08/2002,0.801
Camanejos,197321,8100714,29/08/2002,0.016
Dren ciego,194330,8103436,29/08/2002,
Rossy,195723,8102026,29/08/2002,
Puntilla,196473,8103514,29/09/2002,0.164
Campesino,194248,8103536,29/09/2002,0.576
Centro de visitantes,193407,8104162,29/09/2002,0.534
Motobomba,192546,8104722,29/09/2002,0.608
Camanejos,197321,8100714,29/09/2002,0.012
Dren ciego,194330,8103436,29/09/2002,
Rossy,195723,8102026,29/09/2002,
Puntilla,196473,8103514,01/10/2002,0.16
Campesino,194248,8103536,01/10/2002,0.729
Centro de visitantes,193407,8104162,01/10/2002,0.54
Motobomba,192546,8104722,01/10/2002,0.942
Camanejos,197321,8100714,01/10/2002,0.011
Dren ciego,194330,8103436,01/10/2002,
Rossy,195723,8102026,01/10/2002,
Puntilla,196473,8103514,01/11/2002,0.197
Campesino,194248,8103536,01/11/2002,0.738
Centro de visitantes,193407,8104162,01/11/2002,0.54
Motobomba,192546,8104722,01/11/2002,0.818
Camanejos,197321,8100714,01/11/2002,0.035
Dren ciego,194330,8103436,01/11/2002,
Rossy,195723,8102026,01/11/2002,
Puntilla,196473,8103514,06/12/2002,0.123
Campesino,194248,8103536,06/12/2002,0.605
Centro de visitantes,193407,8104162,06/12/2002,0.569
Motobomba,192546,8104722,06/12/2002,0.681
Camanejos,197321,8100714,06/12/2002,0.062
Dren ciego,194330,8103436,06/12/2002,
Rossy,195723,8102026,06/12/2002,
